,Title,Summary,Contributors,Date,Section,Url,Source
0,Tesla Pullback Puts Onus on Others to Build Electric Vehicle Chargers,"Elon Musk, the chief executive of Tesla, blindsided competitors, suppliers and his own employees this week by reversing course on his aggressive push to build electric vehicle chargers in the United States, a major priority of the Biden administration.Mr. Musk’s decision to lay off the 500-member team responsible for installing charging stations, and to sharply slow investment in new stations, baffled the industry and raised doubts about whether the number of public chargers would grow fast enough to keep pace with sales of battery-powered cars. It put the onus on other charging companies, raising questions about whether they can build fast enough to address a shortage that appears to be discouraging some people from buying electric cars.As the owner of the largest charging network in the United States, Tesla has a powerful effect on people’s views of electric cars.“There is certainly a psychological component,” said Robert Zabors, a senior partner at Roland Berger, a consulting firm. “Availability and reliability are critical to overall E.V. adoption.”Tesla’s change of direction, only days after it had told shareholders in a securities filing that it would “rapidly” expand its charging network, which it calls Supercharger, is likely to delay construction of fast chargers, which are concentrated along the two coasts and in parts of Texas.Wildflower, a New York real estate developer, was on the verge of signing a lease with Tesla to build a charging center near the intersection of Interstates 278 and 495 in Queens. Then Adam Gordon, the firm’s managing partner, got a text message from the Tesla executive he had been working with.",By Jack Ewing and Ivan Penn,2024-05-04 05:04:41-04:00,business,https://www.nytimes.com/2024/05/04/business/energy-environment/tesla-electric-vehicles-supercharger.html,The New York Times
1,Billionaire Donor Assails Brown’s ‘Unconscionable’ Deal With Protesters,"One of Brown University’s major donors, the billionaire real estate mogul Barry Sternlicht, on Friday sharply criticized the school’s agreement to hold a board vote on cutting investments tied to Israel, calling it “unconscionable” and saying he had “paused” donations to the school.Brown is among a small number of universities that have agreed to discuss their investments in companies that do business in Israel, in order to persuade student protesters to dismantle encampments. Mr. Sternlicht, in a scathing email to The New York Times, which he copied to Brown’s president, Christina H. Paxson, said the arrangement amounted to sympathy for Hamas, which attacked Israel in October, and described students protesting Israel’s actions in Gaza as “ignorant.”“There should never be a vote when people do not have the facts,” he wrote. “It’s not education, it’s propaganda.”Mr. Sternlicht, 63, said no deal with protesters could be fruitful because the two sides did not agree on “facts and moral clarity,” as well as the scale of Israel’s invasion of Gaza after Hamas’s Oct. 7 attack, in which about 1,200 were killed and another 250 were taken hostage. Israel’s subsequent intense bombardment of the tightly packed area has left more than 34,000 dead and drawn international condemnation.He cited the hundreds of thousands of civilians killed in wars in Ukraine, Syria, Afghanistan, and Iraq, asking: “Where were the protests?”“As far as wars go, Israel has been quite muted,” Mr. Sternlicht wrote.The blowback from Mr. Sternlicht, who has described himself as a political independent and whose name is on a Brown residence hall, shows how quickly the issue of divestment from Israel may vex universities. Until a week ago, even discussing the subject was widely considered a nonstarter, as it was sure to divide a large swath of students and faculty from many of the businesspeople whose donations fill university endowments.",By Rob Copeland,2024-05-03 19:21:00-04:00,business,https://www.nytimes.com/2024/05/03/business/sterlicht-brown-university-donor.html,The New York Times
2,Berkshire Reports Drop in Profits but Formidable Cash Stockpile,"Berkshire Hathaway on Saturday reported a sharp drop in first-quarter profits, driven largely by lower investment income, as the conglomerate’s chief executive, Warren E. Buffett, prepares to speak at its annual investor meeting.Those results belie an increase in operating earnings, which track the actual profits that Berkshire’s array of companies produce, and in Berkshire’s formidable cash hoard — which totaled nearly $189 billion as of March 31 — that points to the company’s robust health.The company’s latest results set a backdrop for the meeting in downtown Omaha, which will be the first for Berkshire since the death in November of Charles Munger, Mr. Buffett’s longtime business partner and alter ego, at age 99.For the first three months of the year, Berkshire reported $12.7 billion in earnings attributable to its shareholders, down 64 percent from the same time a year ago. Driving the drop was a steep fall in the paper value of Berkshire’s vast investment portfolio though Mr. Buffett has long warned shareholders to ignore fluctuations in the company’s stock holdings.Berkshire also disclosed that it had trimmed its huge stake in Apple, which Mr. Buffett has called one of his company’s most important holdings, by about 13 percent in the quarter. It now owns about $135.4 billion, down from $174.3 billion at the end of 2023. (Apple’s chief executive, Tim Cook, is attending the annual meeting.)Looking at operating earnings, Mr. Buffett’s favored metric because it measures the tangible health of Berkshire’s business, the company reported a 40 percent gain, to $11.2 billion. That was propelled by a more than doubling of Berkshire’s core insurance underwriting business, as its Geico insurer charged higher premiums per policy and reported fewer claims, while its reinsurance division didn’t take any hits from catastrophes in this year’s first quarter.Those gains offset weaker results in other parts of Mr. Buffett’s empire, including an 8 percent fall in net earnings at the BNSF railroad because of lower shipments of fuel versus consumer goods and lower fuel surcharge revenue.Its Pilot Travel Centers chain of truck stops, which it acquired full control of in January, reported a 19 percent drop in net earnings, as the business saw lower margins on fuel sales and higher operating expenses.And Berkshire disclosed that its PacifiCorp utility, which operates in the West, faces federal and state investigations and lawsuits over any role it played in wildfires in 2020 and 2022.The earnings report was released ahead of the Berkshire meeting, which will see tens of thousands of Berkshire shareholders gather at the CHI Health Center arena in the company’s hometown to watch Mr. Buffett answer questions.Among the topics that he will probably discuss — some with the help of his top lieutenants, including his likely successor, Gregory Abel — are his outlook on the economy and the November elections and where he sees investment opportunities.Michael de la Merced joined The Times as a reporter in 2006, covering Wall Street and finance. Among his main coverage areas are mergers and acquisitions, bankruptcies and the private equity industry. More about Michael J. de la MercedShare full articleAdvertisementSKIP ADVERTISEMENTSite IndexSite Information Navigation© 2024 The New York Times CompanyNYTCoContact UsAccessibilityWork with usAdvertiseT Brand StudioYour Ad ChoicesPrivacy PolicyTerms of ServiceTerms of SaleSite MapCanadaInternationalHelpSubscriptionsManage Privacy Preferences
















",By Michael J. de la Merced,2024-05-04 09:38:58-04:00,business,https://www.nytimes.com/2024/05/04/business/dealbook/berkshire-hathaway-buffett.html,The New York Times
3,"Oil Companies Expand Offshore Drilling, Pointing to Energy Needs","About 80 miles southeast of Louisiana’s coast, 100,000 metric tons of steel floats in the Gulf of Mexico, an emblem of the hopes of oil and gas companies.This hulk of metal, a deepwater platform called Appomattox and owned by Shell, collects the oil and gas that rigs tap from reservoirs thousands of feet below the seafloor. Equipment on the platform pipes that fuel to shore.Political and corporate leaders have pledged to reduce planet-warming emissions to net-zero by 2050. But oil companies like Shell are betting that the world will need oil and gas for decades to come. To serve that demand, they are expanding offshore oil and gas drilling into deeper and deeper waters, especially here in the Gulf of Mexico.Offshore production, oil executives argue, is not only crucial to power cars, trucks and power plants but also better for the planet than drilling on land. That’s because such operations emit far less of the greenhouse gases that are warming the planet than producing the same amount of oil and gas on land, according to industry estimates.“The world will continue to need oil, by the way, even in 2050,” Wael Sawan, chief executive of Shell, said in a recent interview. “It will have to be lower and lower emissions.”The greenhouse gas emissions associated with extracting a barrel of oil from the Gulf of Mexico are as much as a third lower than emissions from producing a barrel of oil from fields on U.S. soil, according to a report published last year by the National Ocean Industries Association, an industry group for offshore oil, gas and wind businesses. (Those numbers do not include the emissions created when fossil fuels are burned in engines or power plants, which are much greater than emissions from producing and refining oil and gas.)",By Ivan Penn,2024-05-03 05:00:46-04:00,business,https://www.nytimes.com/2024/05/03/business/energy-environment/shell-offshore-oil-gulf-of-mexico.html,The New York Times
4,The Perils of the Fed’s Vast Bond Holdings,"The Federal Reserve is engaged in a colossal transformation of the financial economy. Yet scarcely anyone is noticing.What it’s doing is like walking a herd of elephants through Midtown Manhattan without attracting much attention. That used to happen in New York in the wee hours — when the circus came to town and elephants walked over the city’s bridges and through its tunnels to Madison Square Garden.I’m not talking about the Fed’s decisions on short-term interest rates, which get the headlines when the central bank meets, as it did on Wednesday. The Fed kept those rates steady — and fairly high — at about 5.33 percent, in a frustrating battle to subdue inflation.I’m talking about a remarkably ambitious and poorly understood Fed project known as quantitative tightening — Q.T. for short. That refers to the Fed’s reduction of the Treasury bonds and mortgage-backed securities on its mammoth balance sheet.The central bank said on Wednesday that it would start slowing the pace of this asset paring in June, to $60 billion a month from a maximum reduction of $95 billion a month. It’s not selling securities, just quietly eliminating some as they mature, without reinvesting the proceeds.These may look like big numbers. Yet on a comparative basis, they are piddling.Consider that the central bank’s assets peaked two years ago at almost $9 trillion. That sum is roughly one-third of all the goods and services — the gross domestic product — produced in the United States in one year. Now, after much careful effort, the Fed has cut that total to about $7.4 trillion.",By Jeff Sommer,2024-05-03 09:00:15-04:00,business,https://www.nytimes.com/2024/05/03/business/federal-reserve-markets-turmoil.html,The New York Times
5,"As Kentucky Derby Nears, Last Year’s Deaths Cast Long Shadow","The Kentucky Derby has been run through two World Wars, the Great Depression, civil rights unrest and, most recently, a life-paralyzing pandemic. Now, on the 150th anniversary of America’s most famous race, the Sport of Kings faces another formidable foe: itself.Last year, beneath Churchill Downs’s iconic twin spires, seven horses died during the week of the showpiece event — two of them in races in the hours leading up to the Derby. In the days after, five more sustained fatal injuries, prompting Churchill officials to move their races to another Kentucky racetrack.It got worse. A colt trained by the sport’s most recognized and controversial trainer, Bob Baffert, died at Pimlico Race Course hours before Mr. Baffert saddled the winner of the Preakness Stakes, the second leg of the Triple Crown. Two more horses not trained by Mr. Baffert died in races surrounding the Belmont Stakes, the third leg, in June.At the historic Saratoga Race Course in New York, 13 horses died while racing and training at the sport’s signature summer meet, including two who seemed poised to win their races before breaking down near the finish line on nationally televised broadcasts.Over the past 12 months, The New York Times analyzed confidential documents and covert recordings made by law enforcement, and obtained exclusive interviews as part of an investigation into why so many horses, supposedly in peak physical condition, were breaking down so frequently. In the documentary “The New York Times Presents: Broken Horses,” now streaming on Hulu, The Times found that reckless breeding and doping practices, compromised veterinarians and trainers, and decades-long resistance to changes that could save horses lives have placed a multibillion-dollar ecosystem in peril and put the social acceptability of one of America’s oldest sports at risk.ImageHavnameltdown sustained an injury to his left front ankle and was euthanized on the racetrack on the undercard of the Preakness Stakes in Baltimore last year. Credit...Jerry Jackson/The Baltimore Sun, via Associated Press",By Joe Drape and Melissa Hoppert,2024-05-02 05:04:43-04:00,business,https://www.nytimes.com/2024/05/02/business/horse-racing-deaths-kentucky-derby.html,The New York Times
6,Campus Protests Over Gaza Spotlight the Work of Student Journalists,"Their updates come in harried bursts. Real-time narrations of the scene at Columbia University’s protest encampment in Manhattan, interspersed with the calmer voice of a host in the studio, directing live on air the dozen or so student journalists covering the moment police officers in riot gear moved in to clear an occupied university building Tuesday night.“Do we have a field reporter over on Amsterdam? We have word that arrests are happening on Amsterdam, if we could get a field reporter over there.”“Sorry, Sarah, do you need to go?”“It’s getting really hard for us to report from this vantage.”The stream from the Columbia University student-run radio station, WKCR, was so popular that night that its website crashed. As pro-Palestinian demonstrators seized Hamilton Hall, theirs was one of the most extensive broadcasts from the scene because the school had limited access for professional journalists.Listen to an audio clip from WKCR-FM, Columbia University radio, from the night of April 30.The same is true around the country, where student journalists have provided some of the most detailed and riveting coverage of the protests that have engulfed campuses. The Brown Daily Herald reported on negotiations between the school’s trustee board and the protesters there. The University of Southern California’s paper, The Daily Trojan, Dartmouth College’s The Dartmouth and the University of North Carolina’s Daily Tar Heel have provided minute-by-minute live coverage on X, Instagram and on their websites.The journalists’ efforts have drawn rare praise from the Pulitzer Prize Board, which highlighted in a statement the “extraordinary real-time reporting of student journalists at Columbia University” and around the country, who reported “under difficult and dangerous circumstances and at risk of arrest.”",By Santul Nerkar,2024-05-03 16:29:04-04:00,business,https://www.nytimes.com/2024/05/03/business/media/campus-protests-columbia-student-media-gaza.html,The New York Times
7,Medical Debt Shows Up Less Often on Credit Reports,"The share of Americans with unpaid medical bills tainting their credit files has fallen in the two years since the major credit reporting agencies — Equifax, Experian and TransUnion — changed how that debt was reported, a federal watchdog agency said this week.But even with the changes, some 15 million people — many of them living in low-income communities and in the South — still have medical bills in their credit files, the Consumer Financial Protection Bureau reported. Rohit Chopra, the bureau’s director, said in a statement that “further reforms” were needed to scour medical debt from credit histories. The bureau is considering a rule to ban medical debt from consumer credit files.The bureau estimated in a 2022 report that well over half the debt that appeared on credit reports as being in collection was medical debt. Having unpaid medical bills on your credit report can make it hard to qualify for loans and credit cards, get cellphone service, rent an apartment or even secure a job, since landlords and employers also check applicants’ credit history.Yet the bureau’s research suggests that medical debt is a less useful measure of a borrower’s creditworthiness than other types of debt, largely because of the complexities of the American health care system. People can incur medical bills unexpectedly, and many think that their health insurance will cover the costs. They often must contact insurers, hospitals or doctors and may end up haggling over their correct share of the bill. And the consumer bureau previously found that medical collection debt reported to the credit bureaus was “plagued by inaccuracies.”“There’s a lot of back and forth,” said Breno Braga, a principal research associate at the Urban Institute think tank and a co-author of a recent report on medical debt. “You don’t see that with any other type of debt.”In 2022, amid scrutiny from the consumer bureau, the three major credit reporting agencies voluntarily adopted changes in how medical bills were included in credit files. They agreed to exclude any medical collection debts that had been paid and those that were less than a year old, allowing for time to clarify a patient’s responsibility for the bill. And as of April 2023, the credit bureaus stopped including any medical collections for amounts under $500. (Hospitals and doctors send unpaid bills to collection agencies, which may then report them to the credit bureaus.)",By Ann Carrns,2024-05-03 09:00:23-04:00,your-money,https://www.nytimes.com/2024/05/03/your-money/medical-debt-credit-reports.html,The New York Times
8,Is It Good to Go Exclusive?,"Paramount’s proposed merger with Skydance has been the most tumultuous media deal in years. Now it has taken yet another turn after the exclusivity period for negotiations expired without an agreement in hand.A month ago, a special committee of Paramount’s board agreed to enter into exclusive talks with Skydance — a Hollywood studio run by the tech scion David Ellison — even as the private equity giant Apollo Global Management reached out with a $26 billion offer. Paramount shareholders grumbled that granting exclusivity was a mistake, and that the company should have engaged with Apollo instead.This week, the special committee told Skydance that it was letting the exclusivity period lapse. The end of exclusivity doesn’t alone kill the deal with Skydance. But it does allow Paramount to open up negotiations with Apollo and Sony Pictures Entertainment, which joined Apollo’s bid.The so far fruitless negotiations raise a question that deal makers have long debated: Why do companies like Paramount agree to exclusivity in the first place?Buyers often prefer exclusivity more than sellers. Exclusivity is a sign from the seller that it is committed to doing a deal and not just using a bid to drum up higher offers.Sellers generally prefer to negotiate without exclusivity because it limits their ability to shop around for a higher price. And since they’ve already signaled to a buyer they’re willing to make a deal, they’ve weakened their bargaining power.","By Lauren Hirsch, Michael J. de la Merced and Ravi Mattu",2024-05-04 08:16:55-04:00,business,https://www.nytimes.com/2024/05/04/business/is-it-good-to-go-exclusive.html,The New York Times
9,How Scammers Are Stealing Food Stamps From Struggling Americans,"Something was very wrong with Jackie Kirks’s food stamp card.While standing at the checkout line in a cavernous Albertsons grocery store in Long Beach, Calif., last December, Ms. Kirks was told that she didn’t have enough money in her account to pay for food.“That’s impossible,” she told the cashier.Ms. Kirks, 70, knew that she had saved up a sizable sum in monthly benefits from the federal food assistance program, also known as the Supplemental Nutrition Assistance Program, or SNAP. Until September, she had been homeless, bouncing between weeklong stays at motels and sleeping in her car. To eat, she would buy food through a state program that permitted adults 60 and older, people with disabilities and homeless people to buy discount meals using their food stamps. The program had cost far less than buying groceries, so most of the SNAP money had accumulated in her account.But the cashier at Albertsons was adamant: Ms. Kirks had only $6 in her account. Alarm bells rang in her head as she walked out of the supermarket, empty-handed except for a bottle of water and coffee creamer. She immediately called the state agency that oversaw food benefits. Her heart sank when a caseworker explained that someone had gained access to her card and drained her balance of over $4,000.People like Ms. Kirks who rely on public benefits, such as food stamps, are facing a relentless threat: Scammers are using illegally installed skimming devices to lift payment card data from unsuspecting victims who swipe their payment cards through the devices in stores or at A.T.M.s. The criminals then use the information to create fake payment cards and steal money from victims’ accounts.Skimming schemes started spiking in prevalence around 2022. Thieves target a variety of card-based payments, including those made with credit and debit cards. Welfare programs that use payment cards are similarly vulnerable. Yet, unlike credit and debit cards issued by banks, benefit cards issued by public agencies don’t come with fraud protection, which limits a credit or debit cardholder’s liability for unauthorized charges.The schemes have hit two welfare programs particularly hard: food stamps, which are payments to low-income families that can be used only to buy groceries, and cash assistance, which is a no-strings-attached sum. Both are monthly programs and are transferred to participants through a payment card known as an “electronic benefit transfer,” or E.B.T.",By Jessica Fu,2024-05-04 05:02:42-04:00,business,https://www.nytimes.com/2024/05/04/business/food-stamps-skimming-scam.html,The New York Times
